11:26:17  [main] 	Initialisere Control Panel
11:26:17  [main] 	Windows Version:  Pro  64-bit
11:26:17  [main] 	XAMPP Version: 7.3.9
11:26:17  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
11:26:17  [main] 	Dein Benutzerprofil besitzt keine Administratorenrechte! Das reicht aus für die meisten
11:26:17  [main] 	Anwendungsfunktionen, aber wann immer du etwas mit Windows-Diensten tun möchtest,
11:26:17  [main] 	wird eine Sicherheitsabfrage erscheinen oder etwas wird garnicht erst funktionieren!
11:26:17  [main] 	Also denke daran diese Anwendung mit Administratorrechten zu starten!
11:26:17  [main] 	XAMPP Installationsverzeichnis: "d:\privateserver_tera\teraserveronline\web\"
11:26:17  [main] 	Voraussetzungen werden geprüft
11:26:18  [main] 	Alle Voraussetzungen sind erfüllt
11:26:18  [main] 	Initialisiere Module
11:26:18  [Apache] 	Problem festgestellt!
11:26:18  [Apache] 	Port 80 in Benutzung von "Unable to get info" (PID 27940)!
11:26:18  [Apache] 	Apache wird NICHT starten, wenn die konfigurierten Ports nicht frei sind!
11:26:18  [Apache] 	Die blockierende Anwendung muss deinstalliert/deaktiviert/rekonfiguriert werden oder
11:26:18  [Apache] 	Apache und das Control Panel müssen auf einen anderen Port zu lauschen
11:26:18  [main] 	Das FileZilla Modul ist deaktiviert
11:26:18  [main] 	Das Mercury Modul ist deaktiviert
11:26:18  [main] 	Starte Check-Timer
11:26:18  [main] 	Control Panel bereit
11:26:29  [main] 	Führe aus: "services.msc"
11:26:43  [main] 	Deinitialisiere Module
11:26:43  [main] 	Deinitialisiere Control Panel

11:26:45  [main] 	Initializing Control Panel
11:26:45  [main] 	Windows Version:  Pro  64-bit
11:26:45  [main] 	XAMPP Version: 7.3.9
11:26:45  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
11:26:45  [main] 	You are not running with administrator rights! This will work for
11:26:45  [main] 	most application stuff but whenever you do something with services
11:26:45  [main] 	there will be a security dialogue or things will break! So think 
11:26:45  [main] 	about running this application with administrator rights!
11:26:45  [main] 	XAMPP Installation Directory: "d:\privateserver_tera\teraserveronline\web\"
11:26:45  [main] 	Checking for prerequisites
11:26:45  [main] 	All prerequisites found
11:26:45  [main] 	Initializing Modules
11:26:45  [Apache] 	Problem detected!
11:26:45  [Apache] 	Port 80 in use by "Unable to get info" with PID 27940!
11:26:45  [Apache] 	Apache WILL NOT start without the configured ports free!
11:26:45  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
11:26:45  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
11:26:45  [main] 	The FileZilla module is disabled
11:26:45  [main] 	The Mercury module is disabled
11:26:45  [main] 	Starting Check-Timer
11:26:45  [main] 	Control Panel Ready
11:26:51  [Apache] 	Attempting to start Apache app...
11:26:51  [Apache] 	Status change detected: running
11:26:53  [mysql] 	Attempting to start MySQL app...
11:26:53  [mysql] 	Status change detected: running
11:41:43  [Apache] 	Attempting to stop Apache (PID: 37792)
